Protein ID,Gene ID,CCDS ID,BioGrid ID,Molecular Function-GO Annot,Molecular Function-Keyword,Biological processes-GO Annot,Biological processes-Keywords,Cellular Component-Go Annot,Cellular Component-Keywords,Disease-OMIM ID,Disease-Keywords,Technical Terms-Keywords,Polymorphism
A0A024R102,,,,,,,,Nucleus,,,,,
A0A024R152,,,,,,regulation of cell shape,,Other locations,,,,,
A0A024R167,,,,,,,,,,,,,
A0A024R1C4,7592,,,"metal ion binding;
nucleic acid binding",,"regulation of transcription, DNA-templated",,Other locations,,,,,
A0A024R1E2,,,,"actin binding;
ATP binding;
microtubule binding;
microtubule motor activity","Actin-binding;
Motor protein;
Myosin",microtubule-based movement,,Cytoskeleton,,,,,
A0A024R1G4,,,,"actin binding;
ATP binding;
microtubule binding;
microtubule motor activity","Actin-binding;
Motor protein;
Myosin",microtubule-based movement,,Cytoskeleton,,,,,
A0A024R1K2,,,,,,,,Cytoskeleton,,,,,
A0A024R1N5,23112,,,nucleic acid binding,,miRNA mediated inhibition of translation,,,,,,,
A0A024R1T4,,,,nucleic acid binding,,miRNA mediated inhibition of translation,,,,,,,
A0A024R258,29979,,,,,,,"Cytosol;
Nucleus",,,,,
A0A024R3J3,,,,,,,,,,,,,
A0A024R3N2,,,,,,,,Nucleus,,,,,
A0A024R4A5,,,,,,,,,,,,,
A0A024R502,,,,,,,,,,,,,
A0A024R5C3,,,,,,,,,,,,,
A0A024R5M9,4926,,,,,,,"Cytosol;
Golgi apparatus;
Nucleus",,,,,
A0A024R734,10725,,,"DNA binding transcription factor activity;
RNA polymerase II proximal promoter sequence-specific DNA binding",,transcription by RNA polymerase II,,"Cytosol;
Nucleus",,,,,
A0A024R7V7,,,,"ATP binding;
hydrolase activity, acting on acid anhydrides",,,,Nucleus,Nucleus,,,,
A0A024R7W4,,,,,,,,,,,,,
A0A024R7W5,253943,,,RNA binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A024R872,64855,,,,,,,"Cytosol;
Nucleus;
Plasma Membrane",,,,,
A0A024R9L9,23339,,,,,"intracellular protein transport;
vesicle-mediated transport",,Other locations,,,,,
A0A024R9U8,,,,ubiquitin-protein transferase activity,Transferase,,Ubl conjugation pathway,"Cytosol;
Nucleus",,,,,
A0A024RB65,10106,,,phosphatase activity,,,,,,,,,
A0A024RB92,,,,,,,,,,,,,
A0A024RBB0,,,,,,,,,,,,,
A0A024RBS8,,,,,,,,,,,,,
A0A024RD50,,,,DNA binding,,,,Nucleus,Nucleus,,,,
A0A024RDH6,22872,,,,,,,"Cytosol;
Other locations",,,,,
A0A024RDX6,55068,,,RNA binding,RNA-binding,,,,,,,,
A0A075B6E5,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A075B6F3,1769,,,"ATPase activity;
ATP binding;
microtubule motor activity",,microtubule-based movement,,"Cytoskeleton;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A075B6W5,,,,,Receptor,adaptive immune response,"Adaptive immunity;
Immunity",Plasma Membrane,"Cell membrane;
Membrane",,,"Complete proteome;
Reference proteome",There are several alleles. The sequence shown is that of IMGT allele TRAV23/DV6*01.
A0A075B749,9659,,,,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WT04,100527963,,,,,,,Nucleus,,,,"Complete proteome;
Reference proteome",
A0A087WT45,,,,,,,,"Cytosol;
Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WT53,,,,protein-containing complex scaffold activity,,,,"Nucleus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WU44,,,,"hydrolase activity, acting on acid anhydrides",,,,,,,,"Complete proteome;
Reference proteome",
A0A087WUA7,,,,,,,,,,,,"Complete proteome;
Reference proteome",
A0A087WV02,,,,nucleic acid binding,,,,,,,,"Complete proteome;
Reference proteome",
A0A087WV29,,,,"ATP binding;
N-acetyltransferase activity","Acyltransferase;
Transferase","ribosomal small subunit biogenesis;
rRNA modification;
tRNA acetylation","rRNA processing;
tRNA processing",Nucleus,Nucleus,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WV69,8863,,,,,circadian regulation of gene expression,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WV97,64744,,,"GTPase activator activity;
metal ion binding",,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WVF7,,,,"calcium ion binding;
Rho guanyl-nucleotide exchange factor activity",,"endocytosis;
regulation of Rho protein signal transduction",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WVF8,9659,,,,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WW63,773,,,high voltage-gated calcium channel activity,"Calcium channel;
Ion channel;
Voltage-gated channel","adult walking behavior;
behavioral response to pain;
calcium ion-regulated exocytosis of neurotransmitter;
cellular chloride ion homeostasis;
cerebellar molecular layer development;
cerebellar Purkinje cell differentiation;
cerebellum maturation;
dendrite morphogenesis;
gamma-aminobutyric acid secretion;
gamma-aminobutyric acid signaling pathway;
glucose homeostasis;
membrane depolarization;
musculoskeletal movement, spinal reflex action;
negative regulation of hormone biosynthetic process;
negative regulation of neuron apoptotic process;
neuromuscular process controlling balance;
neuromuscular synaptic transmission;
neuron-neuron synaptic transmission;
positive regulation of cytosolic calcium ion concentration;
receptor clustering;
regulation of acetylcholine secretion, neurotransmission;
regulation of axonogenesis;
regulation of calcium ion-dependent exocytosis;
regulation of ion transmembrane transport;
regulation of sulfur amino acid metabolic process;
rhythmic synaptic transmission;
spinal cord motor neuron differentiation;
synapse assembly;
synaptic transmission, glutamatergic;
transmission of nerve impulse;
vestibular nucleus development","Calcium transport;
Ion transport;
Transport","Plasma Membrane;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WW81,,,,,,centrosome cycle,,"Cytoskeleton;
Cytosol;
Plasma Membrane",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WW92,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WWG1,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WWH3,,,,,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WWW7,,,,,,,,Other locations,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WX83,,,,,,,,Cytoskeleton,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WX84,,,,"DNA binding;
protein-containing complex scaffold activity",,signal transduction,,"Cytoskeleton;
Golgi apparatus;
Other locations",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WXD9,,,,actin binding,,"cell migration;
regulation of actin cytoskeleton organization",,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WXI0,401258,,,"GTPase activity;
GTP binding",,neutrophil degranulation,,"Lysosome;
Plasma Membrane;
Other locations","Cell membrane;
Membrane",,,"Complete proteome;
Reference proteome",
A0A087WXK3,,,,,,snRNA processing,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WXU1,4286,,,DNA binding transcription factor activity,,regulation of transcription by RNA polymerase II,,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WY31,253943,,,RNA binding,,,,,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WY61,,,,,,,,"Cytosol;
Golgi apparatus;
Nucleus",,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WZ03,,,,,,,,Other locations,,,,"Complete proteome;
Reference proteome",
A0A087WZK9,,,,translation initiation factor activity,Initiation factor,formation of cytoplasmic translation initiation complex,Protein biosynthesis,Other locations,Cytoplasm,,,"Complete proteome;
Proteomics identification;
Reference proteome",
A0A087WZR3,,,,thiol-dependent ubiquitin-specific protease activity,,"DNA repair;
protein K63-linked deubiquitination",,Nucleus,,,,"Complete proteome;
Proteomics identification;
Reference proteome",
